id_setor_censitario,sigla_uf,v002,v003,v004
355030883000212,SP1,1453723,1453723,0
355030867000167,SP1,2262650,2262650,0
355030871000127,SP1,2258782,2258782,0
355030870000164,SP1,531823,531823,0
355030894000091,SP1,2381904,2381904,0
355030894000043,SP1,249819,249819,0
355030845000052,SP1,4050804,4050804,0
355030815000129,SP1,3312696,3312696,0
355030894000097,SP1,1598870,1598870,0
355030890000196,SP1,1938099,1938099,0
355030807000140,SP1,1018330,1018330,0
355030871000024,SP1,1985640,1985640,0
355030832000031,SP1,2763983,2763983,0
355030837000274,SP1,246390,246390,0
355030894000204,SP1,541167,541167,0
355030894000234,SP1,417146,417146,0
355030845000214,SP1,1579069,1579069,0
355030845000130,SP1,2285066,2285066,0
355030802000005,SP1,2517000,2517000,0
355030826000013,SP1,2041320,2039720,1600
355030832000121,SP1,2894113,2894113,0
355030835000142,SP1,2465013,2465013,0
355030862000119,SP1,4451431,4451431,0
355030890000221,SP1,1720865,1720865,0
355030845000134,SP1,2943561,2943561,0
355030883000080,SP1,587730,587730,0
355030826000010,SP1,2606694,2606694,0
355030883000030,SP1,1341368,1341368,0
355030860000051,SP1,3036660,3028660,8000
355030877000157,SP1,752795,752795,0
355030815000059,SP1,714008,714008,0
355030845000161,SP1,2180034,2180034,0
355030862000085,SP1,1231211,1231211,0
355030880000159,SP1,850431,850431,0
355030845000106,SP1,1558889,1558889,0
355030871000076,SP1,1899653,1899653,0
355030862000034,SP1,2137962,2137962,0
355030845000041,SP1,1327628,1327628,0
355030832000007,SP1,1135684,1135684,0
355030827000174,SP1,952245,952245,0
355030841000101,SP1,456262,456262,0
355030845000085,SP1,1263760,1263760,0
355030802000022,SP1,3233917,3233917,0
355030860000177,SP1,435340,435340,0
355030832000039,SP1,2765914,2765914,0
355030890000202,SP1,1213153,1213153,0
355030862000109,SP1,1735072,1735072,0
355030865000207,SP1,368559,368559,0
355030807000028,SP1,2282901,2282901,0
355030848000121,SP1,2380720,2380720,0
355030845000156,SP1,521454,521454,0
355030838000342,SP1,387662,387662,0
355030845000012,SP1,1242552,1242552,0
355030860000147,SP1,698226,698226,0
355030832000040,SP1,1336286,1336286,0
355030880000139,SP1,627558,627558,0
355030890000208,SP1,1532550,1532550,0
355030894000135,SP1,1042682,1042682,0
355030812000120,SP1,778200,778200,0
355030826000020,SP1,2303065,2303065,0
355030826000008,SP1,1900947,1900947,0
355030845000003,SP1,1844355,1844355,0
355030832000053,SP1,1918362,1918362,0
355030832000107,SP1,1767078,1767078,0
355030807000082,SP1,1235176,1235176,0
355030826000022,SP1,3148230,3148230,0
355030849000049,SP1,2211117,2211117,0
355030862000103,SP1,1724820,1724820,0
355030835000079,SP1,2527177,2527177,0
355030853000015,SP1,818092,818092,0
355030866000051,SP1,309015,309015,0
355030877000197,SP1,2263470,2263470,0
355030822000354,SP1,781361,781361,0
355030853000129,SP1,469080,469080,0
355030826000131,SP1,770979,770979,0
355030894000162,SP1,589310,589310,0
355030832000069,SP1,2452630,2452630,0
355030865000014,SP1,1491680,1491680,0
355030802000071,SP1,1079679,1079679,0
355030815000119,SP1,919760,919760,0
355030812000090,SP1,1993560,1993560,0
355030894000089,SP1,2134300,2134300,0
355030869000129,SP1,374045,374045,0
355030832000129,SP1,848889,848889,0
355030835000039,SP1,636670,636670,0
355030883000079,SP1,578931,578931,0
355030845000162,SP1,2764701,2764701,0
355030862000141,SP1,2151300,2151300,0
355030867000260,SP1,685513,685513,0
355030894000079,SP1,780126,780126,0
355030865000075,SP1,474770,474770,0
355030894000163,SP1,756940,756940,0
355030894000076,SP1,643050,643050,0
355030832000094,SP1,3236320,3236320,0
355030826000070,SP1,6429991,6429991,0
355030832000070,SP1,1443220,1443220,0
355030815000116,SP1,1837470,1837470,0
355030862000001,SP1,795229,795229,0
355030880000163,SP1,466856,466856,0
355030821000122,SP1,1035575,1035575,0
355030894000170,SP1,829380,829380,0
355030893000037,SP1,1453640,1453640,0
355030869000162,SP1,984820,984820,0
355030842000207,SP1,304138,304138,0
355030862000132,SP1,1593430,1593430,0
355030893000147,SP1,1014602,1014602,0
355030883000067,SP1,618034,618034,0
355030845000154,SP1,1012520,1012520,0
355030826000006,SP1,4223233,4223233,0
355030894000169,SP1,1175200,1175200,0
355030812000014,SP1,462522,462522,0
355030832000005,SP1,4207096,4207096,0
355030832000075,SP1,2210780,2210780,0
355030816000091,SP1,1101539,1101539,0
355030826000005,SP1,1743079,1743079,0
355030893000155,SP1,443340,443340,0
355030862000017,SP1,1170690,1170690,0
355030802000024,SP1,1902772,1902772,0
355030863000224,SP1,531140,531140,0
355030826000119,SP1,2200780,2200780,0
355030835000024,SP1,2145108,2145108,0
355030860000163,SP1,1029610,1029610,0
